seed,heldout,n_train,n_test,accuracy,macro_f1
20260921,env_ubuntu22_template_v1,305,55,0.9454545454545454,0.9629629629629629
20260921,env_ubuntu22_v1,306,54,0.9444444444444444,0.962121212121212
20260921,env_ubuntu22_v2,197,163,0.9263803680981595,0.9481481481481481
20260921,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9007407407407407
20260922,env_ubuntu22_template_v1,305,55,0.9454545454545454,0.9629629629629629
20260922,env_ubuntu22_v1,306,54,0.9444444444444444,0.962121212121212
20260922,env_ubuntu22_v2,197,163,0.9263803680981595,0.9481481481481481
20260922,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9007407407407407
20260923,env_ubuntu22_template_v1,305,55,0.9454545454545454,0.9629629629629629
20260923,env_ubuntu22_v1,306,54,0.9444444444444444,0.962121212121212
20260923,env_ubuntu22_v2,197,163,0.9263803680981595,0.9481481481481481
20260923,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9007407407407407
