seed,heldout,n_train,n_test,accuracy,macro_f1
20260921,env_ubuntu22_template_v1,305,55,0.38181818181818183,0.354320987654321
20260921,env_ubuntu22_v1,306,54,0.3888888888888889,0.36994949494949486
20260921,env_ubuntu22_v2,197,163,0.36809815950920244,0.32892416225749554
20260921,single_host_ubuntu22_container,272,88,0.4090909090909091,0.33046913580246917
20260922,env_ubuntu22_template_v1,305,55,0.38181818181818183,0.354320987654321
20260922,env_ubuntu22_v1,306,54,0.3888888888888889,0.36994949494949486
20260922,env_ubuntu22_v2,197,163,0.36809815950920244,0.32892416225749554
20260922,single_host_ubuntu22_container,272,88,0.4090909090909091,0.33046913580246917
20260923,env_ubuntu22_template_v1,305,55,0.38181818181818183,0.354320987654321
20260923,env_ubuntu22_v1,306,54,0.3888888888888889,0.36994949494949486
20260923,env_ubuntu22_v2,197,163,0.36809815950920244,0.32892416225749554
20260923,single_host_ubuntu22_container,272,88,0.4090909090909091,0.33046913580246917
