seed,heldout,n_train,n_test,accuracy,macro_f1
20260921,env_ubuntu22_template_v1,305,55,0.9090909090909091,0.9185185185185184
20260921,env_ubuntu22_v1,306,54,0.9074074074074074,0.9166666666666665
20260921,env_ubuntu22_v2,197,163,0.9079754601226994,0.9185185185185184
20260921,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9007407407407407
20260922,env_ubuntu22_template_v1,305,55,0.9090909090909091,0.9185185185185184
20260922,env_ubuntu22_v1,306,54,0.9074074074074074,0.9166666666666665
20260922,env_ubuntu22_v2,197,163,0.9079754601226994,0.9185185185185184
20260922,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9007407407407407
20260923,env_ubuntu22_template_v1,305,55,0.9090909090909091,0.9185185185185184
20260923,env_ubuntu22_v1,306,54,0.9074074074074074,0.9166666666666665
20260923,env_ubuntu22_v2,197,163,0.9079754601226994,0.9185185185185184
20260923,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9007407407407407
