method,seed,heldout,n_test,accuracy_embedding_only,macro_f1_embedding_only,accuracy_embedding_plus_proto,macro_f1_embedding_plus_proto,classifier_scaler,share_gate_forward,train_graph_hash,test_graph_hash,support_graph_hash,test_mask_leakage_check,source_file
ordinary,20260921,env_ubuntu22_template_v1,55,0.9090909090909091,0.9399999999999997,0.9090909090909091,0.9399999999999997,standard,False,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True,coregate_p1_standard_ordinary_seed20260921.json
ordinary,20260921,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.9074074074074074,0.9386363636363634,standard,False,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True,coregate_p1_standard_ordinary_seed20260921.json
ordinary,20260921,env_ubuntu22_v2,163,0.9079754601226994,0.9399999999999997,0.9079754601226994,0.9399999999999997,standard,False,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True,coregate_p1_standard_ordinary_seed20260921.json
ordinary,20260921,single_host_ubuntu22_container,88,0.9204545454545454,0.8777777777777778,0.9318181818181818,0.8888888888888888,standard,False,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True,coregate_p1_standard_ordinary_seed20260921.json
ordinary,20260922,env_ubuntu22_template_v1,55,0.9272727272727272,0.9466666666666665,0.9272727272727272,0.9548148148148147,standard,False,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True,coregate_p1_standard_ordinary_seed20260922.json
ordinary,20260922,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.9074074074074074,0.9386363636363634,standard,False,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True,coregate_p1_standard_ordinary_seed20260922.json
ordinary,20260922,env_ubuntu22_v2,163,0.9079754601226994,0.9437037037037036,0.9079754601226994,0.9437037037037036,standard,False,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True,coregate_p1_standard_ordinary_seed20260922.json
ordinary,20260922,single_host_ubuntu22_container,88,0.9090909090909091,0.8644444444444442,0.9090909090909091,0.8644444444444442,standard,False,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True,coregate_p1_standard_ordinary_seed20260922.json
ordinary,20260923,env_ubuntu22_template_v1,55,0.9272727272727272,0.9548148148148147,0.9272727272727272,0.9548148148148147,standard,False,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True,coregate_p1_standard_ordinary_seed20260923.json
ordinary,20260923,env_ubuntu22_v1,54,0.9259259259259259,0.9537878787878786,0.9259259259259259,0.9537878787878786,standard,False,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True,coregate_p1_standard_ordinary_seed20260923.json
ordinary,20260923,env_ubuntu22_v2,163,0.9263803680981595,0.9548148148148147,0.9263803680981595,0.9548148148148147,standard,False,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True,coregate_p1_standard_ordinary_seed20260923.json
ordinary,20260923,single_host_ubuntu22_container,88,0.9204545454545454,0.8777777777777778,0.9204545454545454,0.8777777777777778,standard,False,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True,coregate_p1_standard_ordinary_seed20260923.json
coregate,20260921,env_ubuntu22_template_v1,55,0.9454545454545454,0.9666666666666667,0.9636363636363636,0.9777777777777777,standard,True,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True,coregate_p1_standard_coregate_seed20260921.json
coregate,20260921,env_ubuntu22_v1,54,0.9629629629629629,0.9772727272727273,0.9629629629629629,0.9772727272727273,standard,True,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True,coregate_p1_standard_coregate_seed20260921.json
coregate,20260921,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,0.9631901840490797,0.977037037037037,standard,True,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True,coregate_p1_standard_coregate_seed20260921.json
coregate,20260921,single_host_ubuntu22_container,88,0.9545454545454546,0.9244444444444445,0.9431818181818182,0.914814814814815,standard,True,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True,coregate_p1_standard_coregate_seed20260921.json
coregate,20260922,env_ubuntu22_template_v1,55,0.9636363636363636,0.9688888888888889,0.9636363636363636,0.9688888888888889,standard,True,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True,coregate_p1_standard_coregate_seed20260922.json
coregate,20260922,env_ubuntu22_v1,54,0.9629629629629629,0.9765151515151516,0.9629629629629629,0.9765151515151516,standard,True,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True,coregate_p1_standard_coregate_seed20260922.json
coregate,20260922,env_ubuntu22_v2,163,0.9447852760736196,0.9666666666666667,0.9447852760736196,0.9666666666666667,standard,True,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True,coregate_p1_standard_coregate_seed20260922.json
coregate,20260922,single_host_ubuntu22_container,88,0.9431818181818182,0.8970370370370369,0.9431818181818182,0.8970370370370369,standard,True,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True,coregate_p1_standard_coregate_seed20260922.json
coregate,20260923,env_ubuntu22_template_v1,55,0.9636363636363636,0.977037037037037,0.9636363636363636,0.977037037037037,standard,True,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True,coregate_p1_standard_coregate_seed20260923.json
coregate,20260923,env_ubuntu22_v1,54,0.9629629629629629,0.9765151515151516,0.9629629629629629,0.9772727272727273,standard,True,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True,coregate_p1_standard_coregate_seed20260923.json
coregate,20260923,env_ubuntu22_v2,163,0.9631901840490797,0.9777777777777777,0.9631901840490797,0.977037037037037,standard,True,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True,coregate_p1_standard_coregate_seed20260923.json
coregate,20260923,single_host_ubuntu22_container,88,0.9545454545454546,0.9244444444444443,0.9545454545454546,0.9229629629629629,standard,True,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True,coregate_p1_standard_coregate_seed20260923.json
