seed,heldout,n_train,n_test,accuracy,macro_f1
20260921,env_ubuntu22_template_v1,305,55,0.41818181818181815,0.46031746031746035
20260921,env_ubuntu22_v1,306,54,0.42592592592592593,0.47835497835497837
20260921,env_ubuntu22_v2,197,163,0.4171779141104294,0.45625300625300624
20260921,single_host_ubuntu22_container,272,88,0.48863636363636365,0.434176245210728
20260922,env_ubuntu22_template_v1,305,55,0.41818181818181815,0.46031746031746035
20260922,env_ubuntu22_v1,306,54,0.42592592592592593,0.47835497835497837
20260922,env_ubuntu22_v2,197,163,0.4171779141104294,0.45625300625300624
20260922,single_host_ubuntu22_container,272,88,0.48863636363636365,0.434176245210728
20260923,env_ubuntu22_template_v1,305,55,0.41818181818181815,0.46031746031746035
20260923,env_ubuntu22_v1,306,54,0.42592592592592593,0.47835497835497837
20260923,env_ubuntu22_v2,197,163,0.4171779141104294,0.45625300625300624
20260923,single_host_ubuntu22_container,272,88,0.48863636363636365,0.434176245210728
