mask_variant,view,seed,heldout,n_train,n_test,accuracy,macro_f1
full,raw_only,20260921,env_ubuntu22_template_v1,305,55,0.7818181818181819,0.7767195767195767
full,raw_only,20260921,env_ubuntu22_v1,306,54,0.7777777777777778,0.7716450216450216
full,raw_only,20260921,env_ubuntu22_v2,197,163,0.7975460122699386,0.7925925925925925
full,raw_only,20260921,single_host_ubuntu22_container,272,88,0.7727272727272727,0.7431339031339032
full,raw_only,20260922,env_ubuntu22_template_v1,305,55,0.7818181818181819,0.7767195767195767
full,raw_only,20260922,env_ubuntu22_v1,306,54,0.7777777777777778,0.7716450216450216
full,raw_only,20260922,env_ubuntu22_v2,197,163,0.7975460122699386,0.7925925925925925
full,raw_only,20260922,single_host_ubuntu22_container,272,88,0.7727272727272727,0.7431339031339032
full,raw_only,20260923,env_ubuntu22_template_v1,305,55,0.7818181818181819,0.7767195767195767
full,raw_only,20260923,env_ubuntu22_v1,306,54,0.7777777777777778,0.7716450216450216
full,raw_only,20260923,env_ubuntu22_v2,197,163,0.7975460122699386,0.7925925925925925
full,raw_only,20260923,single_host_ubuntu22_container,272,88,0.7727272727272727,0.7431339031339032
full,mask_only,20260921,env_ubuntu22_template_v1,305,55,0.8909090909090909,0.8888888888888888
full,mask_only,20260921,env_ubuntu22_v1,306,54,0.8888888888888888,0.8863636363636364
full,mask_only,20260921,env_ubuntu22_v2,197,163,0.8711656441717791,0.8629629629629628
full,mask_only,20260921,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9155555555555556
full,mask_only,20260922,env_ubuntu22_template_v1,305,55,0.8909090909090909,0.8888888888888888
full,mask_only,20260922,env_ubuntu22_v1,306,54,0.8888888888888888,0.8863636363636364
full,mask_only,20260922,env_ubuntu22_v2,197,163,0.8711656441717791,0.8629629629629628
full,mask_only,20260922,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9155555555555556
full,mask_only,20260923,env_ubuntu22_template_v1,305,55,0.8909090909090909,0.8888888888888888
full,mask_only,20260923,env_ubuntu22_v1,306,54,0.8888888888888888,0.8863636363636364
full,mask_only,20260923,env_ubuntu22_v2,197,163,0.8711656441717791,0.8629629629629628
full,mask_only,20260923,single_host_ubuntu22_container,272,88,0.9318181818181818,0.9155555555555556
full,raw_plus_mask,20260921,env_ubuntu22_template_v1,305,55,0.9272727272727272,0.9481481481481481
full,raw_plus_mask,20260921,env_ubuntu22_v1,306,54,0.9259259259259259,0.9469696969696969
full,raw_plus_mask,20260921,env_ubuntu22_v2,197,163,0.9263803680981595,0.9481481481481481
full,raw_plus_mask,20260921,single_host_ubuntu22_container,272,88,0.9431818181818182,0.9274074074074075
full,raw_plus_mask,20260922,env_ubuntu22_template_v1,305,55,0.9272727272727272,0.9481481481481481
full,raw_plus_mask,20260922,env_ubuntu22_v1,306,54,0.9259259259259259,0.9469696969696969
full,raw_plus_mask,20260922,env_ubuntu22_v2,197,163,0.9263803680981595,0.9481481481481481
full,raw_plus_mask,20260922,single_host_ubuntu22_container,272,88,0.9431818181818182,0.9274074074074075
full,raw_plus_mask,20260923,env_ubuntu22_template_v1,305,55,0.9272727272727272,0.9481481481481481
full,raw_plus_mask,20260923,env_ubuntu22_v1,306,54,0.9259259259259259,0.9469696969696969
full,raw_plus_mask,20260923,env_ubuntu22_v2,197,163,0.9263803680981595,0.9481481481481481
full,raw_plus_mask,20260923,single_host_ubuntu22_container,272,88,0.9431818181818182,0.9274074074074075
lineage,raw_only,20260921,env_ubuntu22_template_v1,305,55,0.7818181818181819,0.7767195767195767
lineage,raw_only,20260921,env_ubuntu22_v1,306,54,0.7777777777777778,0.7716450216450216
lineage,raw_only,20260921,env_ubuntu22_v2,197,163,0.7975460122699386,0.7925925925925925
lineage,raw_only,20260921,single_host_ubuntu22_container,272,88,0.7727272727272727,0.7431339031339032
lineage,raw_only,20260922,env_ubuntu22_template_v1,305,55,0.7818181818181819,0.7767195767195767
lineage,raw_only,20260922,env_ubuntu22_v1,306,54,0.7777777777777778,0.7716450216450216
lineage,raw_only,20260922,env_ubuntu22_v2,197,163,0.7975460122699386,0.7925925925925925
lineage,raw_only,20260922,single_host_ubuntu22_container,272,88,0.7727272727272727,0.7431339031339032
lineage,raw_only,20260923,env_ubuntu22_template_v1,305,55,0.7818181818181819,0.7767195767195767
lineage,raw_only,20260923,env_ubuntu22_v1,306,54,0.7777777777777778,0.7716450216450216
lineage,raw_only,20260923,env_ubuntu22_v2,197,163,0.7975460122699386,0.7925925925925925
lineage,raw_only,20260923,single_host_ubuntu22_container,272,88,0.7727272727272727,0.7431339031339032
lineage,mask_only,20260921,env_ubuntu22_template_v1,305,55,0.2,0.2069023569023569
lineage,mask_only,20260921,env_ubuntu22_v1,306,54,0.2037037037037037,0.21241637150728063
lineage,mask_only,20260921,env_ubuntu22_v2,197,163,0.20245398773006135,0.20740740740740743
lineage,mask_only,20260921,single_host_ubuntu22_container,272,88,0.23863636363636365,0.20022458628841605
lineage,mask_only,20260922,env_ubuntu22_template_v1,305,55,0.2,0.2069023569023569
